Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
04/12/2023,03/01/2023,03/31/2023,By Month,2023,3,Oklahoma,Hospice facility,,139,12,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2023,03/31/2023,By Month,2023,3,Oklahoma,Nursing home/long term care facility,32,553,20,,0,48,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2023,03/31/2023,By Month,2023,3,Oklahoma,Other,,118,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2023,03/31/2023,By Month,2023,3,Oklahoma,Place of death unknown,0,0,0,0,0,0,
04/12/2023,04/01/2023,04/08/2023,By Month,2023,4,Oklahoma,Total - All Places of Death,,231,16,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2023,04/08/2023,By Month,2023,4,Oklahoma,"Healthcare setting, inpatient",,66,12,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2023,04/08/2023,By Month,2023,4,Oklahoma,"Healthcare setting, outpatient or emergency room",0,16,0,0,0,0,
04/12/2023,04/01/2023,04/08/2023,By Month,2023,4,Oklahoma,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/12/2023,04/01/2023,04/08/2023,By Month,2023,4,Oklahoma,Decedent's home,,86,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2023,04/08/2023,By Month,2023,4,Oklahoma,Hospice facility,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2023,04/08/2023,By Month,2023,4,Oklahoma,Nursing home/long term care facility,0,51,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2023,04/08/2023,By Month,2023,4,Oklahoma,Other,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2023,04/08/2023,By Month,2023,4,Oklahoma,Place of death unknown,0,0,0,0,0,0,
04/12/2023,01/01/2020,01/31/2020,By Month,2020,1,Oregon,Total - All Places of Death,0,3304,175,0,30,205,
04/12/2023,01/01/2020,01/31/2020,By Month,2020,1,Oregon,"Healthcare setting, inpatient",0,828,97,0,22,119,
04/12/2023,01/01/2020,01/31/2020,By Month,2020,1,Oregon,"Healthcare setting, outpatient or emergency room",0,123,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,01/31/2020,By Month,2020,1,Oregon,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,01/31/2020,By Month,2020,1,Oregon,Decedent's home,0,1365,37,0,,39,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,01/31/2020,By Month,2020,1,Oregon,Hospice facility,0,89,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,01/31/2020,By Month,2020,1,Oregon,Nursing home/long term care facility,0,629,29,0,,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,01/31/2020,By Month,2020,1,Oregon,Other,0,269,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,01/31/2020,By Month,2020,1,Oregon,Place of death unknown,0,0,0,0,0,0,
04/12/2023,02/01/2020,02/29/2020,By Month,2020,2,Oregon,Total - All Places of Death,0,3075,149,0,19,168,
04/12/2023,02/01/2020,02/29/2020,By Month,2020,2,Oregon,"Healthcare setting, inpatient",0,764,99,0,13,112,
04/12/2023,02/01/2020,02/29/2020,By Month,2020,2,Oregon,"Healthcare setting, outpatient or emergency room",0,125,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,02/01/2020,02/29/2020,By Month,2020,2,Oregon,"Healthcare setting, dead on arrival",0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,02/01/2020,02/29/2020,By Month,2020,2,Oregon,Decedent's home,0,1250,16,0,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,02/01/2020,02/29/2020,By Month,2020,2,Oregon,Hospice facility,0,84,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,02/01/2020,02/29/2020,By Month,2020,2,Oregon,Nursing home/long term care facility,0,600,26,0,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,02/01/2020,02/29/2020,By Month,2020,2,Oregon,Other,0,250,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,02/01/2020,02/29/2020,By Month,2020,2,Oregon,Place of death unknown,0,0,0,0,0,0,
04/12/2023,03/01/2020,03/31/2020,By Month,2020,3,Oregon,Total - All Places of Death,28,3394,195,16,34,241,
04/12/2023,03/01/2020,03/31/2020,By Month,2020,3,Oregon,"Healthcare setting, inpatient",18,805,134,12,21,161,
04/12/2023,03/01/2020,03/31/2020,By Month,2020,3,Oregon,"Healthcare setting, outpatient or emergency room",,162,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2020,03/31/2020,By Month,2020,3,Oregon,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2020,03/31/2020,By Month,2020,3,Oregon,Decedent's home,,1404,26,,,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2020,03/31/2020,By Month,2020,3,Oregon,Hospice facility,0,79,0,0,0,0,
04/12/2023,03/01/2020,03/31/2020,By Month,2020,3,Oregon,Nursing home/long term care facility,,639,19,,,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2020,03/31/2020,By Month,2020,3,Oregon,Other,0,304,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2020,03/31/2020,By Month,2020,3,Oregon,Place of death unknown,0,0,0,0,0,0,
04/12/2023,04/01/2020,04/30/2020,By Month,2020,4,Oregon,Total - All Places of Death,105,3271,197,36,,269,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2020,04/30/2020,By Month,2020,4,Oregon,"Healthcare setting, inpatient",56,662,109,22,,145,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2020,04/30/2020,By Month,2020,4,Oregon,"Healthcare setting, outpatient or emergency room",,127,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2020,04/30/2020,By Month,2020,4,Oregon,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/12/2023,04/01/2020,04/30/2020,By Month,2020,4,Oregon,Decedent's home,10,1462,33,,0,39,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2020,04/30/2020,By Month,2020,4,Oregon,Hospice facility,0,84,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2020,04/30/2020,By Month,2020,4,Oregon,Nursing home/long term care facility,34,657,40,10,,65,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2020,04/30/2020,By Month,2020,4,Oregon,Other,,279,,0,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2020,04/30/2020,By Month,2020,4,Oregon,Place of death unknown,0,0,0,0,0,0,
04/12/2023,05/01/2020,05/31/2020,By Month,2020,5,Oregon,Total - All Places of Death,59,3212,126,19,,167,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2020,05/31/2020,By Month,2020,5,Oregon,"Healthcare setting, inpatient",34,622,71,14,0,91,
04/12/2023,05/01/2020,05/31/2020,By Month,2020,5,Oregon,"Healthcare setting, outpatient or emergency room",,133,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2020,05/31/2020,By Month,2020,5,Oregon,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2020,05/31/2020,By Month,2020,5,Oregon,Decedent's home,,1491,25,0,0,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2020,05/31/2020,By Month,2020,5,Oregon,Hospice facility,0,62,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2020,05/31/2020,By Month,2020,5,Oregon,Nursing home/long term care facility,16,572,22,,,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2020,05/31/2020,By Month,2020,5,Oregon,Other,,329,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2020,05/31/2020,By Month,2020,5,Oregon,Place of death unknown,0,0,0,0,0,0,
04/12/2023,06/01/2020,06/30/2020,By Month,2020,6,Oregon,Total - All Places of Death,60,3078,130,16,,176,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2020,06/30/2020,By Month,2020,6,Oregon,"Healthcare setting, inpatient",25,648,69,,,87,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2020,06/30/2020,By Month,2020,6,Oregon,"Healthcare setting, outpatient or emergency room",0,140,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2020,06/30/2020,By Month,2020,6,Oregon,"Healthcare setting, dead on arrival",,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2020,06/30/2020,By Month,2020,6,Oregon,Decedent's home,,1347,21,0,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2020,06/30/2020,By Month,2020,6,Oregon,Hospice facility,0,70,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2020,06/30/2020,By Month,2020,6,Oregon,Nursing home/long term care facility,30,581,29,,0,53,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2020,06/30/2020,By Month,2020,6,Oregon,Other,,290,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2020,06/30/2020,By Month,2020,6,Oregon,Place of death unknown,0,0,0,0,0,0,
04/12/2023,07/01/2020,07/31/2020,By Month,2020,7,Oregon,Total - All Places of Death,102,3234,140,29,0,213,
04/12/2023,07/01/2020,07/31/2020,By Month,2020,7,Oregon,"Healthcare setting, inpatient",44,718,83,19,0,108,
04/12/2023,07/01/2020,07/31/2020,By Month,2020,7,Oregon,"Healthcare setting, outpatient or emergency room",,122,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,07/01/2020,07/31/2020,By Month,2020,7,Oregon,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,07/01/2020,07/31/2020,By Month,2020,7,Oregon,Decedent's home,15,1423,19,,0,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,07/01/2020,07/31/2020,By Month,2020,7,Oregon,Hospice facility,0,63,0,0,0,0,
04/12/2023,07/01/2020,07/31/2020,By Month,2020,7,Oregon,Nursing home/long term care facility,35,560,26,,0,55,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,07/01/2020,07/31/2020,By Month,2020,7,Oregon,Other,,346,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,07/01/2020,07/31/2020,By Month,2020,7,Oregon,Place of death unknown,0,0,0,0,0,0,
04/12/2023,08/01/2020,08/31/2020,By Month,2020,8,Oregon,Total - All Places of Death,131,3369,135,50,0,216,
04/12/2023,08/01/2020,08/31/2020,By Month,2020,8,Oregon,"Healthcare setting, inpatient",71,754,92,37,0,126,
04/12/2023,08/01/2020,08/31/2020,By Month,2020,8,Oregon,"Healthcare setting, outpatient or emergency room",,119,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,08/01/2020,08/31/2020,By Month,2020,8,Oregon,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/12/2023,08/01/2020,08/31/2020,By Month,2020,8,Oregon,Decedent's home,12,1526,14,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,08/01/2020,08/31/2020,By Month,2020,8,Oregon,Hospice facility,0,75,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,08/01/2020,08/31/2020,By Month,2020,8,Oregon,Nursing home/long term care facility,42,571,19,,0,54,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,08/01/2020,08/31/2020,By Month,2020,8,Oregon,Other,,324,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,08/01/2020,08/31/2020,By Month,2020,8,Oregon,Place of death unknown,0,0,0,0,0,0,
04/12/2023,09/01/2020,09/30/2020,By Month,2020,9,Oregon,Total - All Places of Death,86,3218,134,25,0,195,
04/12/2023,09/01/2020,09/30/2020,By Month,2020,9,Oregon,"Healthcare setting, inpatient",40,731,97,19,0,118,
04/12/2023,09/01/2020,09/30/2020,By Month,2020,9,Oregon,"Healthcare setting, outpatient or emergency room",,117,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,09/01/2020,09/30/2020,By Month,2020,9,Oregon,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/12/2023,09/01/2020,09/30/2020,By Month,2020,9,Oregon,Decedent's home,10,1412,11,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,09/01/2020,09/30/2020,By Month,2020,9,Oregon,Hospice facility,,66,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,09/01/2020,09/30/2020,By Month,2020,9,Oregon,Nursing home/long term care facility,28,562,12,,0,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,09/01/2020,09/30/2020,By Month,2020,9,Oregon,Other,,330,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,09/01/2020,09/30/2020,By Month,2020,9,Oregon,Place of death unknown,0,0,0,0,0,0,
04/12/2023,10/01/2020,10/31/2020,By Month,2020,10,Oregon,Total - All Places of Death,132,3328,138,40,,231,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,10/01/2020,10/31/2020,By Month,2020,10,Oregon,"Healthcare setting, inpatient",73,807,94,34,0,133,
04/12/2023,10/01/2020,10/31/2020,By Month,2020,10,Oregon,"Healthcare setting, outpatient or emergency room",,124,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,10/01/2020,10/31/2020,By Month,2020,10,Oregon,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,10/01/2020,10/31/2020,By Month,2020,10,Oregon,Decedent's home,19,1412,15,,,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,10/01/2020,10/31/2020,By Month,2020,10,Oregon,Hospice facility,,85,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,10/01/2020,10/31/2020,By Month,2020,10,Oregon,Nursing home/long term care facility,33,558,11,,0,41,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,10/01/2020,10/31/2020,By Month,2020,10,Oregon,Other,,341,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,10/01/2020,10/31/2020,By Month,2020,10,Oregon,Place of death unknown,0,0,0,0,0,0,
04/12/2023,11/01/2020,11/30/2020,By Month,2020,11,Oregon,Total - All Places of Death,330,3655,227,102,0,455,
04/12/2023,11/01/2020,11/30/2020,By Month,2020,11,Oregon,"Healthcare setting, inpatient",160,913,154,76,0,238,
04/12/2023,11/01/2020,11/30/2020,By Month,2020,11,Oregon,"Healthcare setting, outpatient or emergency room",,127,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,11/01/2020,11/30/2020,By Month,2020,11,Oregon,"Healthcare setting, dead on arrival",,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,11/01/2020,11/30/2020,By Month,2020,11,Oregon,Decedent's home,44,1552,31,,0,66,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,11/01/2020,11/30/2020,By Month,2020,11,Oregon,Hospice facility,,76,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,11/01/2020,11/30/2020,By Month,2020,11,Oregon,Nursing home/long term care facility,111,666,29,16,0,124,
04/12/2023,11/01/2020,11/30/2020,By Month,2020,11,Oregon,Other,,319,,0,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,11/01/2020,11/30/2020,By Month,2020,11,Oregon,Place of death unknown,0,0,0,0,0,0,
04/12/2023,12/01/2020,12/31/2020,By Month,2020,12,Oregon,Total - All Places of Death,579,4100,331,196,,715,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,12/01/2020,12/31/2020,By Month,2020,12,Oregon,"Healthcare setting, inpatient",275,1071,220,138,0,357,
04/12/2023,12/01/2020,12/31/2020,By Month,2020,12,Oregon,"Healthcare setting, outpatient or emergency room",,144,,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,12/01/2020,12/31/2020,By Month,2020,12,Oregon,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/12/2023,12/01/2020,12/31/2020,By Month,2020,12,Oregon,Decedent's home,70,1679,46,17,,100,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,12/01/2020,12/31/2020,By Month,2020,12,Oregon,Hospice facility,,69,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,12/01/2020,12/31/2020,By Month,2020,12,Oregon,Nursing home/long term care facility,200,788,54,38,0,216,
04/12/2023,12/01/2020,12/31/2020,By Month,2020,12,Oregon,Other,24,349,,,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,12/01/2020,12/31/2020,By Month,2020,12,Oregon,Place of death unknown,0,0,0,0,0,0,
04/12/2023,01/01/2021,01/31/2021,By Month,2021,1,Oregon,Total - All Places of Death,452,3853,288,165,,576,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,01/31/2021,By Month,2021,1,Oregon,"Healthcare setting, inpatient",222,991,182,107,0,297,
04/12/2023,01/01/2021,01/31/2021,By Month,2021,1,Oregon,"Healthcare setting, outpatient or emergency room",,148,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,01/31/2021,By Month,2021,1,Oregon,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/12/2023,01/01/2021,01/31/2021,By Month,2021,1,Oregon,Decedent's home,69,1599,45,18,,97,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,01/31/2021,By Month,2021,1,Oregon,Hospice facility,,71,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,01/31/2021,By Month,2021,1,Oregon,Nursing home/long term care facility,134,660,45,32,0,147,
04/12/2023,01/01/2021,01/31/2021,By Month,2021,1,Oregon,Other,23,384,,,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,01/31/2021,By Month,2021,1,Oregon,Place of death unknown,0,0,0,0,0,0,
04/12/2023,02/01/2021,02/28/2021,By Month,2021,2,Oregon,Total - All Places of Death,177,3237,182,69,,290,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,02/01/2021,02/28/2021,By Month,2021,2,Oregon,"Healthcare setting, inpatient",93,793,129,52,0,170,
04/12/2023,02/01/2021,02/28/2021,By Month,2021,2,Oregon,"Healthcare setting, outpatient or emergency room",,117,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,02/01/2021,02/28/2021,By Month,2021,2,Oregon,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/12/2023,02/01/2021,02/28/2021,By Month,2021,2,Oregon,Decedent's home,20,1454,23,,0,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,02/01/2021,02/28/2021,By Month,2021,2,Oregon,Hospice facility,,71,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,02/01/2021,02/28/2021,By Month,2021,2,Oregon,Nursing home/long term care facility,54,522,18,,,64,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,02/01/2021,02/28/2021,By Month,2021,2,Oregon,Other,,280,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,02/01/2021,02/28/2021,By Month,2021,2,Oregon,Place of death unknown,0,0,0,0,0,0,
04/12/2023,03/01/2021,03/31/2021,By Month,2021,3,Oregon,Total - All Places of Death,119,3535,169,50,0,238,
04/12/2023,03/01/2021,03/31/2021,By Month,2021,3,Oregon,"Healthcare setting, inpatient",60,822,115,33,0,142,
04/12/2023,03/01/2021,03/31/2021,By Month,2021,3,Oregon,"Healthcare setting, outpatient or emergency room",,147,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2021,03/31/2021,By Month,2021,3,Oregon,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/12/2023,03/01/2021,03/31/2021,By Month,2021,3,Oregon,Decedent's home,15,1582,19,,0,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2021,03/31/2021,By Month,2021,3,Oregon,Hospice facility,,69,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2021,03/31/2021,By Month,2021,3,Oregon,Nursing home/long term care facility,34,591,27,12,0,49,
04/12/2023,03/01/2021,03/31/2021,By Month,2021,3,Oregon,Other,,324,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2021,03/31/2021,By Month,2021,3,Oregon,Place of death unknown,0,0,0,0,0,0,
04/12/2023,04/01/2021,04/30/2021,By Month,2021,4,Oregon,Total - All Places of Death,122,3343,147,48,0,221,
04/12/2023,04/01/2021,04/30/2021,By Month,2021,4,Oregon,"Healthcare setting, inpatient",70,818,99,32,0,137,
04/12/2023,04/01/2021,04/30/2021,By Month,2021,4,Oregon,"Healthcare setting, outpatient or emergency room",,129,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2021,04/30/2021,By Month,2021,4,Oregon,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/12/2023,04/01/2021,04/30/2021,By Month,2021,4,Oregon,Decedent's home,28,1484,25,10,0,43,
04/12/2023,04/01/2021,04/30/2021,By Month,2021,4,Oregon,Hospice facility,0,76,0,0,0,0,
04/12/2023,04/01/2021,04/30/2021,By Month,2021,4,Oregon,Nursing home/long term care facility,14,518,13,,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2021,04/30/2021,By Month,2021,4,Oregon,Other,,318,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2021,04/30/2021,By Month,2021,4,Oregon,Place of death unknown,0,0,0,0,0,0,
04/12/2023,05/01/2021,05/31/2021,By Month,2021,5,Oregon,Total - All Places of Death,215,3507,188,86,0,317,
04/12/2023,05/01/2021,05/31/2021,By Month,2021,5,Oregon,"Healthcare setting, inpatient",148,877,145,75,0,218,
04/12/2023,05/01/2021,05/31/2021,By Month,2021,5,Oregon,"Healthcare setting, outpatient or emergency room",,155,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2021,05/31/2021,By Month,2021,5,Oregon,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/12/2023,05/01/2021,05/31/2021,By Month,2021,5,Oregon,Decedent's home,29,1523,18,,0,42,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2021,05/31/2021,By Month,2021,5,Oregon,Hospice facility,,71,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2021,05/31/2021,By Month,2021,5,Oregon,Nursing home/long term care facility,21,548,10,,0,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2021,05/31/2021,By Month,2021,5,Oregon,Other,,333,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2021,05/31/2021,By Month,2021,5,Oregon,Place of death unknown,0,0,0,0,0,0,
04/12/2023,06/01/2021,06/30/2021,By Month,2021,6,Oregon,Total - All Places of Death,116,3526,149,54,0,211,
04/12/2023,06/01/2021,06/30/2021,By Month,2021,6,Oregon,"Healthcare setting, inpatient",78,828,107,41,0,144,
04/12/2023,06/01/2021,06/30/2021,By Month,2021,6,Oregon,"Healthcare setting, outpatient or emergency room",,145,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
